1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),Year,is_weekend,is_holiday,is_morning_rush,is_evening_rush,month_sin,month_cos,hour_sin,hour_cos
24.26,78.25,22.43,46.67,64.42,45.33,3496.0,2848.0,24.7,,2.2,22.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
31.06,78.75,22.97,48.33,66.5,52.83,3607.0,2850.0,25.1,,2.1,23.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
28.8,73.0,25.61,40.33,61.25,52.42,3538.0,2874.0,24.7,,2.2,24.0,,2022,True,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063
25.18,71.92,24.48,17.83,51.08,52.58,3522.0,2816.0,24.3,,0.6,24.0,,2022,True,False,False,True,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
31.05,79.25,22.0,50.0,65.5,55.58,3173.0,2604.0,22.8,,0.9,28.0,,2022,True,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203
38.76,79.75,21.19,68.58,64.33,56.25,3403.0,2570.0,20.8,,2.3,40.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
31.21,76.67,22.79,67.25,60.42,60.08,3480.0,2668.0,19.3,,1.4,44.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
34.43,72.92,23.29,63.25,57.75,58.33,3114.0,2433.0,18.0,,2.0,47.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
41.02,74.75,22.65,66.67,62.75,71.83,2624.0,2090.0,17.1,,2.0,55.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
36.79,75.75,21.8,69.83,64.42,81.0,1944.0,1601.0,13.2,,2.5,85.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
39.68,81.17,18.93,74.5,65.75,89.67,1348.0,1141.0,17.1,,2.5,57.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
38.5,81.83,15.63,78.5,66.75,91.92,989.0,867.0,17.0,,2.3,58.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
41.27,81.5,17.63,75.0,67.58,92.83,798.0,677.0,16.3,,1.5,60.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
38.76,78.0,21.88,75.67,65.42,95.58,955.0,836.0,16.0,,3.4,76.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
35.49,80.33,17.04,76.75,67.92,93.92,1397.0,1481.0,15.5,0.0,2.0,81.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
38.69,76.33,20.6,74.17,62.83,85.92,1913.0,1993.0,15.1,0.1,0.9,87.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
31.38,84.17,20.47,74.92,66.25,83.33,2260.0,2150.0,15.1,0.1,0.1,90.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
35.28,83.83,21.23,73.25,65.25,82.5,2760.0,2714.0,15.5,0.1,1.7,91.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
34.96,82.83,24.05,72.08,64.25,71.58,3383.0,2976.0,16.1,0.0,1.0,88.0,,2022,True,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
31.25,84.08,23.76,70.08,59.5,60.33,3518.0,2878.0,17.7,0.0,1.5,81.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
32.64,82.75,27.99,71.5,65.33,61.83,3488.0,2904.0,19.7,,2.4,71.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
28.66,81.25,23.34,61.5,64.33,55.17,3243.0,2888.0,21.0,,2.1,59.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
34.31,80.75,25.3,67.25,64.0,59.33,3623.0,2861.0,22.8,,2.5,52.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
35.66,82.08,25.7,58.0,64.58,53.42,3585.0,2693.0,24.1,,3.6,51.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
29.28,80.0,21.41,34.25,62.17,53.5,3604.0,2581.0,24.1,,2.9,51.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
